country departure,country arrival,number of routes
Afghanistan,Afghanistan,6
Bahrain,Afghanistan,1
China,Afghanistan,1
Germany,Afghanistan,1
India,Afghanistan,5
Iran,Afghanistan,7
Pakistan,Afghanistan,2
Russia,Afghanistan,1
Tajikistan,Afghanistan,2
Turkey,Afghanistan,3
United Arab Emirates,Afghanistan,7
Austria,Albania,1
Belgium,Albania,1
Germany,Albania,1
Greece,Albania,7
Hungary,Albania,2
Italy,Albania,22
Slovenia,Albania,1
Turkey,Albania,1
United Kingdom,Albania,2
Algeria,Algeria,58
Belgium,Algeria,1
Burkina Faso,Algeria,1
Canada,Algeria,1
China,Algeria,1
Egypt,Algeria,2
France,Algeria,69
Germany,Algeria,2
Italy,Algeria,3
Jordan,Algeria,1
Lebanon,Algeria,1
Mali,Algeria,1
Mauritania,Algeria,1
Morocco,Algeria,2
Niger,Algeria,1
Portugal,Algeria,1
Qatar,Algeria,1
Russia,Algeria,1
Senegal,Algeria,1
Spain,Algeria,10
Switzerland,Algeria,1
Syria,Algeria,3
Tunisia,Algeria,2
Turkey,Algeria,2
United Arab Emirates,Algeria,1
United Kingdom,Algeria,2
United States,American Samoa,1
Angola,Angola,38
Belgium,Angola,7
Brazil,Angola,2
China,Angola,1
Congo (Kinshasa),Angola,1
Cuba,Angola,1
Egypt,Angola,1
Ethiopia,Angola,1
France,Angola,2
Gabon,Angola,1
Germany,Angola,2
Kenya,Angola,2
Mozambique,Angola,2
Namibia,Angola,3
Nigeria,Angola,1
Portugal,Angola,3
Sao Tome and Principe,Angola,1
South Africa,Angola,3
Spain,Angola,2
United Arab Emirates,Angola,3
United Kingdom,Angola,2
Zambia,Angola,1
Antigua and Barbuda,Anguilla,1
Netherlands Antilles,Anguilla,1
Puerto Rico,Anguilla,1
Virgin Islands,Anguilla,1
Anguilla,Antigua and Barbuda,1
Barbados,Antigua and Barbuda,2
British Virgin Islands,Antigua and Barbuda,1
Canada,Antigua and Barbuda,2
Dominica,Antigua and Barbuda,1
Dominican Republic,Antigua and Barbuda,2
Germany,Antigua and Barbuda,1
Guadeloupe,Antigua and Barbuda,1
Jamaica,Antigua and Barbuda,1
Montserrat,Antigua and Barbuda,1
Netherlands Antilles,Antigua and Barbuda,1
Puerto Rico,Antigua and Barbuda,3
Saint Kitts and Nevis,Antigua and Barbuda,3
Saint Lucia,Antigua and Barbuda,1
Trinidad and Tobago,Antigua and Barbuda,1
United Kingdom,Antigua and Barbuda,2
United States,Antigua and Barbuda,8
Argentina,Argentina,145
Australia,Argentina,2
Bolivia,Argentina,5
Brazil,Argentina,27
Chile,Argentina,12
Colombia,Argentina,2
Cuba,Argentina,1
Dominican Republic,Argentina,1
Ecuador,Argentina,1
France,Argentina,1
Germany,Argentina,1
Italy,Argentina,2
Mexico,Argentina,3
Netherlands,Argentina,1
New Zealand,Argentina,1
Panama,Argentina,2
Paraguay,Argentina,4
Peru,Argentina,6
South Africa,Argentina,2
Spain,Argentina,5
United Kingdom,Argentina,1
United States,Argentina,13
Uruguay,Argentina,11
Venezuela,Argentina,2
Austria,Armenia,2
Belarus,Armenia,1
Cyprus,Armenia,1
Czech Republic,Armenia,2
France,Armenia,2
Georgia,Armenia,1
Greece,Armenia,1
Iran,Armenia,5
Israel,Armenia,2
Kazakhstan,Armenia,1
Lebanon,Armenia,1
Poland,Armenia,2
Russia,Armenia,35
Syria,Armenia,1
Turkey,Armenia,1
Ukraine,Armenia,2
United Arab Emirates,Armenia,2
United Kingdom,Armenia,3
Canada,Aruba,1
Colombia,Aruba,2
Netherlands,Aruba,2
Netherlands Antilles,Aruba,6
Panama,Aruba,2
Suriname,Aruba,1
United States,Aruba,21
Venezuela,Aruba,3
Argentina,Australia,2
Australia,Australia,717
Brunei,Australia,1
Canada,Australia,1
China,Australia,16
Christmas Island,Australia,1
Cook Islands,Australia,1
East Timor,Australia,3
Fiji,Australia,10
Guam,Australia,2
Hong Kong,Australia,13
Indonesia,Australia,21
Japan,Australia,14
Malaysia,Australia,15
Mauritius,Australia,2
New Caledonia,Australia,5
New Zealand,Australia,84
Norfolk Island,Australia,6
Papua New Guinea,Australia,9
Philippines,Australia,5
Qatar,Australia,1
Reunion,Australia,1
Singapore,Australia,31
Solomon Islands,Australia,2
South Africa,Australia,4
South Korea,Australia,6
Taiwan,Australia,4
Thailand,Australia,20
Tonga,Australia,1
United Arab Emirates,Australia,10
United States,Australia,30
Vanuatu,Australia,7
Vietnam,Australia,6
Albania,Austria,1
Armenia,Austria,2
Austria,Austria,12
Azerbaijan,Austria,2
Belarus,Austria,2
Belgium,Austria,2
Bosnia and Herzegovina,Austria,1
Bulgaria,Austria,6
Canada,Austria,3
China,Austria,2
Croatia,Austria,2
Cyprus,Austria,1
Czech Republic,Austria,3
Denmark,Austria,8
Dominican Republic,Austria,1
Egypt,Austria,11
Finland,Austria,1
France,Austria,9
Georgia,Austria,2
Germany,Austria,70
Greece,Austria,2
Hungary,Austria,1
India,Austria,4
Iran,Austria,2
Iraq,Austria,2
Ireland,Austria,2
Israel,Austria,2
Italy,Austria,16
Japan,Austria,2
Jordan,Austria,3
Kazakhstan,Austria,2
Latvia,Austria,2
Lithuania,Austria,1
Luxembourg,Austria,2
Macedonia,Austria,1
Maldives,Austria,1
Malta,Austria,2
Moldova,Austria,2
Montenegro,Austria,2
Netherlands,Austria,11
Norway,Austria,5
Poland,Austria,4
Portugal,Austria,2
Qatar,Austria,1
Romania,Austria,14
Russia,Austria,22
Serbia,Austria,6
Slovakia,Austria,1
Slovenia,Austria,2
South Korea,Austria,1
Spain,Austria,24
Sweden,Austria,8
Switzerland,Austria,12
Syria,Austria,1
Taiwan,Austria,1
Thailand,Austria,3
Tunisia,Austria,1
Turkey,Austria,10
Ukraine,Austria,12
United Arab Emirates,Austria,2
United Kingdom,Austria,29
United States,Austria,5
Austria,Azerbaijan,2
Azerbaijan,Azerbaijan,2
Belarus,Azerbaijan,2
China,Azerbaijan,2
Czech Republic,Azerbaijan,2
France,Azerbaijan,2
Georgia,Azerbaijan,2
Germany,Azerbaijan,4
Iran,Azerbaijan,2
Israel,Azerbaijan,1
Italy,Azerbaijan,1
Kazakhstan,Azerbaijan,4
Kyrgyzstan,Azerbaijan,1
Russia,Azerbaijan,22
Turkey,Azerbaijan,4
Turkmenistan,Azerbaijan,3
Ukraine,Azerbaijan,3
United Arab Emirates,Azerbaijan,2
United Kingdom,Azerbaijan,3
United States,Azerbaijan,1
Uzbekistan,Azerbaijan,1
Bahamas,Bahamas,61
Canada,Bahamas,6
Cayman Islands,Bahamas,1
Cuba,Bahamas,1
Jamaica,Bahamas,1
Panama,Bahamas,1
Turks and Caicos Islands,Bahamas,3
United Kingdom,Bahamas,1
United States,Bahamas,71
Afghanistan,Bahrain,1
Bangladesh,Bahrain,1
Cyprus,Bahrain,2
Denmark,Bahrain,1
Egypt,Bahrain,2
Ethiopia,Bahrain,1
France,Bahrain,1
Germany,Bahrain,1
Greece,Bahrain,1
Hong Kong,Bahrain,1
India,Bahrain,8
Italy,Bahrain,2
Jordan,Bahrain,3
Kenya,Bahrain,1
Kuwait,Bahrain,8
Lebanon,Bahrain,2
Malaysia,Bahrain,2
Nepal,Bahrain,2
Netherlands,Bahrain,3
Oman,Bahrain,2
Pakistan,Bahrain,6
Philippines,Bahrain,2
Qatar,Bahrain,10
Saudi Arabia,Bahrain,11
Sri Lanka,Bahrain,2
Sudan,Bahrain,2
Switzerland,Bahrain,1
Syria,Bahrain,2
Thailand,Bahrain,2
Turkey,Bahrain,2
Uganda,Bahrain,1
United Arab Emirates,Bahrain,11
United Kingdom,Bahrain,5
Yemen,Bahrain,4
Bahrain,Bangladesh,1
Bangladesh,Bangladesh,22
Bhutan,Bangladesh,1
China,Bangladesh,2
Hong Kong,Bangladesh,3
India,Bangladesh,9
Italy,Bangladesh,1
Kuwait,Bangladesh,2
Malaysia,Bangladesh,3
Nepal,Bangladesh,2
Oman,Bangladesh,2
Pakistan,Bangladesh,3
Qatar,Bangladesh,1
Saudi Arabia,Bangladesh,6
Singapore,Bangladesh,2
Sri Lanka,Bangladesh,2
Thailand,Bangladesh,6
United Arab Emirates,Bangladesh,13
United Kingdom,Bangladesh,1
Antigua and Barbuda,Barbados,2
Brazil,Barbados,1
Canada,Barbados,3
Dominica,Barbados,1
Germany,Barbados,1
Grenada,Barbados,2
Guyana,Barbados,1
Jamaica,Barbados,1
Puerto Rico,Barbados,1
Saint Lucia,Barbados,2
